Kodas:;Pavadinimas:;mato vnt:;Ilgis:;Kaina:;Paveikslėlio adresas:;Spalvos RAL;Svoris:;Filtras:;Part name:;Filter en;Kategorija
379779;Atraminė koja;vnt;1;18,75;379779;nesirenkama;5000;Turėklas;Support leg;Handrail;Detales
12360;Varžtas sieniniui 12x360;vnt;1;2,50;12360;nesirenkama;100;Varžtai;Screw;Screw;Detales
4825;Savisriegis 4.8x25;vnt;1;0,20;4825;nesirenkama;100;Varžtai;Screw;Screw;Detales
4832;Savisriegis 4.8x32;vnt;1;0,28;4825;nesirenkama;100;Varžtai;Screw;Screw;Detales
4838;Savisriegis 4.8x38;vnt;1;0,32;4825;nesirenkama;100;Varžtai;Screw;Screw;Detales
4845;Savisriegis 4.8x45;vnt;1;0,37;4832;nesirenkama;100;Varžtai;Screw;Screw;Detales
C4,2x16-A2;Varžtas 4,2x16 NP (TORX);vnt;1;0,04;C4,2x16-A2;nesirenkama;100;Varžtai;Screw;Screw;Detales
C4,2x25-A2;Varžtas 4,2x25 NP (TORX);vnt;1;0,06;C4,2x25-A2;nesirenkama;5;Varžtai;Screw 4,2x25 SS;Screw;Detales
C4,2x32-A2;Varžtas 4,2x32 NP (TORX);vnt;1;0,07;C4,2x25-A2;nesirenkama;5;Varžtai;Screw 4,2x25 SS;Screw;Detales
C5,5x25-A2;Varžtas 5,5x25 NP (TORX);vnt;1;0,10;C4,2x25-A2;nesirenkama;5;Varžtai;Screw 4,2x25 SS;Screw;Detales
cut;Pjaustymas;vnt;1;1,06;cut;nesirenkama;100;kita;Cutting;Other;Detales
FixCr;Fixal cristal (klijai);vnt;1;10,48;FixCr;nesirenkama;1;kita;Fixal glue;Other;Detales
ankm;Anker masė (hilti);vnt;1;32,06;ankm;nesirenkama;1;kita;Packing;Other;Detales
1523;Kampukas 30x15;m;6;1,88;1523;nesirenkama;180;kita;Angle 30x15;Other;Detales
but;Butilo juosta 45mmx10m-al(10m);vnt;"10;1";8,75;but;nesirenkama;100;kita;Butyl tape 45mm x 10m;Other;Detales
157831;Plečianti juosta juoda 15/8-15 (5m);vnt;"10;1";12,50;157831;nesirenkama;100;kita;Soudaband PRO BG-1 BLACK 15/8-15 (5m);Other;Detales
157829;Plečianti juosta juoda 20/10-20 (4m);vnt;"10;4;1";13,58;157831;nesirenkama;100;kita;Soudaband PRO BG-1 BLACK 20/10-20(4m);Other;Detales
Grez6;6 metrų gręžimas su prispaudimo sistema 7059;vnt;1;7,50;Grez;nesirenkama;0;kita;6-meter drilling with a clamping system(7059);Other;Detales
Grez7;7 metrų gręžimas su prispaudimo sistema 7059;vnt;1;8,75;Grez;nesirenkama;0;kita;7-meter drilling with a clamping system(7059);Other;Detales
PAK;Pakavimas;vnt;1;187,50;PAK;nesirenkama;100000;kita;Packing;Other;Detales
